DateTime,PT08.S1(CO),PT08.S2(NMHC),PT08.S3(NOx),PT08.S4(NO2),PT08.S5(O3),Temperature,Relative_Humidity,Absolute_Humidity,CO_GT,timestamp
2004-03-12 04:00:00,831.0,506.0,1893.0,1134.0,384.0,6.1,65.9,0.6248,1.8,2004-03-12 04:00:00
2004-03-12 05:00:00,847.0,501.0,1895.0,1155.0,394.0,6.3,65.0,0.6233,0.6,2004-03-12 05:00:00
2004-03-12 06:00:00,927.0,571.0,1685.0,1223.0,487.0,6.8,62.9,0.6234,0.8,2004-03-12 06:00:00
2004-03-12 07:00:00,1091.0,730.0,1387.0,1361.0,748.0,6.4,65.1,0.6316,1.4,2004-03-12 07:00:00
2004-03-12 08:00:00,1587.0,1236.0,897.0,1900.0,1400.0,7.3,63.1,0.6499,4.4,2004-03-12 08:00:00
2004-03-12 09:00:00,1545.0,1353.0,767.0,1806.0,1588.0,9.2,56.2,0.6561,1.8,2004-03-12 09:00:00
2004-03-12 10:00:00,1350.0,1118.0,912.0,1712.0,1237.0,13.2,41.7,0.632,3.1,2004-03-12 10:00:00
2004-03-12 11:00:00,1263.0,1037.0,969.0,1598.0,1167.0,14.3,38.4,0.6243,2.7,2004-03-12 11:00:00
2004-03-12 12:00:00,1206.0,986.0,1035.0,1537.0,959.0,15.0,36.5,0.6195,2.1,2004-03-12 12:00:00
2004-03-12 13:00:00,1252.0,1016.0,1008.0,1593.0,983.0,16.1,34.5,0.6262,2.5,2004-03-12 13:00:00
2004-03-12 14:00:00,1287.0,1078.0,949.0,1660.0,1061.0,16.3,35.7,0.656,2.7,2004-03-12 14:00:00
2004-03-12 15:00:00,1353.0,1122.0,922.0,1740.0,1139.0,15.8,37.0,0.661,2.9,2004-03-12 15:00:00
2004-03-12 16:00:00,1309.0,1073.0,954.0,1657.0,1112.0,15.9,37.2,0.6657,2.8,2004-03-12 16:00:00
2004-03-12 17:00:00,1274.0,1041.0,1006.0,1610.0,994.0,16.9,34.3,0.6549,2.4,2004-03-12 17:00:00
2004-03-12 18:00:00,1510.0,1277.0,812.0,1910.0,1410.0,15.1,39.6,0.6766,3.9,2004-03-12 18:00:00
2004-03-12 19:00:00,1525.0,1246.0,821.0,1847.0,1448.0,14.4,43.4,0.7084,3.7,2004-03-12 19:00:00
2004-03-12 20:00:00,1843.0,1610.0,624.0,1894.0,1887.0,12.9,50.5,0.7478,6.6,2004-03-12 20:00:00
2004-03-12 21:00:00,1598.0,1299.0,752.0,1941.0,1627.0,12.1,53.3,0.7536,4.4,2004-03-12 21:00:00
2004-03-12 22:00:00,1484.0,1127.0,839.0,1723.0,1491.0,11.0,59.1,0.774,3.5,2004-03-12 22:00:00
2004-03-12 23:00:00,1677.0,1346.0,741.0,1633.5,1657.0,9.7,64.6,0.7771,5.4,2004-03-12 23:00:00
2004-03-13 00:00:00,1280.0,964.0,963.0,1544.0,1285.0,9.5,64.1,0.7597,2.7,2004-03-13 00:00:00
2004-03-13 01:00:00,1196.0,873.0,1071.0,1463.0,1144.0,9.1,63.9,0.7423,1.9,2004-03-13 01:00:00
2004-03-13 02:00:00,1184.0,782.0,1176.0,1365.0,1043.0,8.8,63.9,0.7256,1.6,2004-03-13 02:00:00
2004-03-13 03:00:00,1172.0,783.0,1179.0,1380.0,996.0,7.8,67.5,0.7173,1.7,2004-03-13 03:00:00
2004-03-13 04:00:00,1147.0,821.0,1132.0,1412.0,992.0,7.0,71.1,0.7158,1.8,2004-03-13 04:00:00
2004-03-13 05:00:00,978.0,625.0,1420.0,1274.0,819.0,8.3,63.6,0.6982,1.0,2004-03-13 05:00:00
2004-03-13 06:00:00,1100.0,646.0,1406.0,1268.0,835.0,7.2,67.5,0.6887,1.2,2004-03-13 06:00:00
2004-03-13 07:00:00,1112.0,770.0,1228.0,1409.0,940.0,6.3,71.9,0.6932,1.5,2004-03-13 07:00:00
2004-03-13 08:00:00,1336.0,1043.0,935.0,1678.0,1192.0,6.5,71.6,0.6945,2.7,2004-03-13 08:00:00
2004-03-13 09:00:00,1408.0,1153.0,830.0,1777.0,1411.0,9.6,59.7,0.7124,3.7,2004-03-13 09:00:00
2004-03-13 10:00:00,1447.0,1081.0,869.0,1667.0,1465.0,12.4,51.2,0.7335,3.2,2004-03-13 10:00:00
2004-03-13 11:00:00,1542.0,1184.0,808.0,1780.0,1583.0,15.6,42.2,0.7451,4.1,2004-03-13 11:00:00
2004-03-13 12:00:00,1451.0,1117.0,875.0,1679.0,1387.0,18.4,33.8,0.709,3.6,2004-03-13 12:00:00
2004-03-13 13:00:00,1328.0,1059.0,987.0,1600.0,1101.0,19.4,31.3,0.695,2.8,2004-03-13 13:00:00
2004-03-13 14:00:00,1207.0,924.0,1088.0,1488.0,850.0,18.0,34.8,0.7127,2.0,2004-03-13 14:00:00
2004-03-13 15:00:00,1240.0,947.0,1049.0,1532.0,947.0,18.4,33.6,0.7042,2.0,2004-03-13 15:00:00
2004-03-13 16:00:00,1306.0,987.0,1004.0,1554.0,1078.0,17.6,35.1,0.7012,2.5,2004-03-13 16:00:00
2004-03-13 17:00:00,1326.0,1000.0,976.0,1602.0,1084.0,16.7,37.8,0.7117,2.3,2004-03-13 17:00:00
2004-03-13 18:00:00,1473.0,1163.0,831.0,1779.0,1395.0,16.1,41.0,0.7451,3.2,2004-03-13 18:00:00
2004-03-13 19:00:00,1609.0,1286.0,758.0,1922.0,1612.0,15.8,42.4,0.7569,4.2,2004-03-13 19:00:00
2004-03-13 20:00:00,1611.0,1274.0,754.0,1915.0,1697.0,15.7,44.1,0.7786,4.2,2004-03-13 20:00:00
2004-03-13 21:00:00,1621.0,1247.0,762.0,1860.0,1886.0,15.3,46.8,0.8091,4.2,2004-03-13 21:00:00
2004-03-13 22:00:00,1444.0,1089.0,844.0,1748.0,1624.0,14.6,48.6,0.806,3.1,2004-03-13 22:00:00
2004-03-13 23:00:00,1418.0,1010.0,892.0,1603.0,1536.0,14.7,49.3,0.8193,2.6,2004-03-13 23:00:00
2004-03-14 00:00:00,1534.0,1013.0,889.0,1611.0,1535.0,13.9,53.6,0.8498,2.9,2004-03-14 00:00:00
2004-03-14 01:00:00,1484.0,1045.0,880.0,1624.0,1530.0,14.6,51.5,0.8536,2.8,2004-03-14 01:00:00
2004-03-14 02:00:00,1367.0,925.0,953.0,1543.0,1337.0,12.5,58.9,0.8537,2.5,2004-03-14 02:00:00
2004-03-14 03:00:00,1344.0,968.0,921.0,1620.0,1278.0,11.6,63.4,0.8674,2.4,2004-03-14 03:00:00
2004-03-14 04:00:00,1130.0,773.0,1130.0,1452.0,1051.0,12.1,61.1,0.8603,1.8,2004-03-14 04:00:00
2004-03-14 05:00:00,1062.0,691.0,1272.0,1377.0,929.0,11.5,63.1,0.8533,1.2,2004-03-14 05:00:00
2004-03-14 06:00:00,1076.0,618.0,1395.0,1333.0,872.0,11.6,62.2,0.8473,1.0,2004-03-14 06:00:00
2004-03-14 07:00:00,1028.0,615.0,1384.0,1340.0,853.0,10.4,67.6,0.853,0.9,2004-03-14 07:00:00
2004-03-14 08:00:00,1155.0,722.0,1225.0,1414.0,959.0,11.6,62.7,0.853,1.4,2004-03-14 08:00:00
2004-03-14 09:00:00,1235.0,828.0,1055.0,1527.0,1093.0,12.4,60.0,0.8627,1.6,2004-03-14 09:00:00
2004-03-14 10:00:00,1332.0,923.0,952.0,1614.0,1225.0,14.5,53.1,0.8728,2.2,2004-03-14 10:00:00
2004-03-14 11:00:00,1445.0,1009.0,878.0,1696.0,1355.0,16.9,46.1,0.8789,2.8,2004-03-14 11:00:00
2004-03-14 12:00:00,1416.0,1002.0,907.0,1677.0,1262.0,19.3,38.3,0.8474,2.8,2004-03-14 12:00:00
2004-03-14 13:00:00,1281.0,880.0,1084.0,1525.0,980.0,21.2,31.4,0.7812,2.0,2004-03-14 13:00:00
2004-03-14 14:00:00,1207.0,879.0,1104.0,1490.0,872.0,21.4,30.2,0.7616,1.8,2004-03-14 14:00:00
2004-03-14 15:00:00,1258.0,906.0,1081.0,1511.0,900.0,21.9,29.0,0.7525,1.9,2004-03-14 15:00:00
2004-03-14 16:00:00,1458.0,1045.0,974.0,1646.0,1099.0,22.2,28.4,0.7516,3.0,2004-03-14 16:00:00
2004-03-14 17:00:00,1438.0,1051.0,943.0,1668.0,1206.0,21.3,30.8,0.7696,2.9,2004-03-14 17:00:00
2004-03-14 18:00:00,1478.0,1055.0,929.0,1671.0,1262.0,19.7,36.7,0.8307,2.5,2004-03-14 18:00:00
2004-03-14 19:00:00,1808.0,1312.0,753.0,1993.0,1698.0,18.4,41.7,0.8732,4.6,2004-03-14 19:00:00
2004-03-14 20:00:00,1898.0,1381.0,681.0,1905.5,1905.0,17.6,46.1,0.921,5.9,2004-03-14 20:00:00
2004-03-14 21:00:00,1560.0,1140.0,784.0,1818.0,1648.0,16.7,49.6,0.932,3.4,2004-03-14 21:00:00
2004-03-14 22:00:00,1324.0,940.0,924.0,1587.0,1423.0,16.3,51.0,0.9341,2.1,2004-03-14 22:00:00
2004-03-14 23:00:00,1349.0,933.0,933.0,1617.0,1349.0,14.7,55.9,0.9314,2.2,2004-03-14 23:00:00
2004-03-15 00:00:00,1239.0,872.0,985.0,1547.0,1250.0,14.8,54.7,0.9164,1.8,2004-03-15 00:00:00
2004-03-15 01:00:00,1239.0,853.0,1010.0,1543.0,1174.0,14.0,57.0,0.9094,1.8,2004-03-15 01:00:00
2004-03-15 02:00:00,1224.0,855.0,998.0,1566.0,1149.0,13.4,61.3,0.9361,1.8,2004-03-15 02:00:00
2004-03-15 03:00:00,1078.0,734.0,1128.0,1487.0,1021.0,12.6,63.5,0.923,1.1,2004-03-15 03:00:00
2004-03-15 04:00:00,1078.0,711.0,1150.0,1468.0,1013.0,12.3,65.4,0.9351,1.8,2004-03-15 04:00:00
2004-03-15 05:00:00,1075.0,703.0,1156.0,1464.0,1010.0,11.9,67.4,0.9375,1.0,2004-03-15 05:00:00
2004-03-15 06:00:00,1157.0,830.0,1030.0,1584.0,1083.0,11.4,70.5,0.9475,1.4,2004-03-15 06:00:00
2004-03-15 07:00:00,1314.0,966.0,897.0,1710.0,1235.0,11.3,70.2,0.9401,2.2,2004-03-15 07:00:00
2004-03-15 08:00:00,1797.0,1451.0,652.0,1724.6,1680.0,12.4,63.9,0.917,5.5,2004-03-15 08:00:00
2004-03-15 09:00:00,1961.0,1701.0,537.0,1739.2,1826.5,14.8,54.3,0.9076,8.1,2004-03-15 09:00:00
2004-03-15 10:00:00,1771.0,1470.0,622.0,1753.8,1973.0,17.4,45.6,0.8993,5.8,2004-03-15 10:00:00
2004-03-15 11:00:00,1564.0,1300.0,710.0,1768.4,1798.0,19.8,38.5,0.8801,4.2,2004-03-15 11:00:00
2004-03-15 12:00:00,1430.0,1120.0,831.0,1783.0,1522.0,22.0,34.1,0.8904,3.1,2004-03-15 12:00:00
2004-03-15 13:00:00,1417.0,1146.0,830.0,1831.0,1404.0,23.3,32.2,0.9096,2.9,2004-03-15 13:00:00
2004-03-15 14:00:00,1400.0,1162.0,838.0,1829.0,1263.0,23.9,30.0,0.8757,2.9,2004-03-15 14:00:00
2004-03-15 15:00:00,1317.0,1053.0,926.0,1707.0,1137.0,24.4,28.9,0.8736,2.5,2004-03-15 15:00:00
2004-03-15 16:00:00,1318.0,1033.0,950.0,1675.0,1068.0,24.4,29.4,0.8848,2.3,2004-03-15 16:00:00
2004-03-15 17:00:00,1445.0,1141.0,857.0,1824.0,1252.0,23.8,31.3,0.9137,2.8,2004-03-15 17:00:00
2004-03-15 18:00:00,1917.0,1601.0,631.0,1830.4,1843.0,22.5,35.4,0.9547,6.1,2004-03-15 18:00:00
2004-03-15 19:00:00,2040.0,1754.0,542.0,1836.8,1917.5,20.4,42.5,1.0086,8.0,2004-03-15 19:00:00
2004-03-15 20:00:00,1895.0,1573.0,565.0,1843.2,1992.0,18.3,52.6,1.0945,6.5,2004-03-15 20:00:00
2004-03-15 21:00:00,1595.0,1294.0,678.0,1849.6,1707.0,16.7,57.4,1.0786,4.2,2004-03-15 21:00:00
2004-03-15 22:00:00,1439.0,1159.0,764.0,1856.0,1494.0,15.7,60.2,1.0654,3.2,2004-03-15 22:00:00
2004-03-15 23:00:00,1142.0,852.0,1008.0,1547.0,1164.0,15.3,61.4,1.058,1.4,2004-03-15 23:00:00
2004-03-16 00:00:00,1304.0,1019.0,852.0,1731.0,1272.0,14.1,65.7,1.0494,2.1,2004-03-16 00:00:00
2004-03-16 01:00:00,1074.0,784.0,1098.0,1483.0,1040.0,14.8,60.6,1.0148,1.2,2004-03-16 01:00:00
2004-03-16 02:00:00,968.0,640.0,1320.0,1386.0,867.0,14.8,59.2,0.9879,0.8,2004-03-16 02:00:00
2004-03-16 03:00:00,929.0,608.0,1376.0,1364.0,826.0,13.6,62.1,0.9636,0.7,2004-03-16 03:00:00
2004-03-16 04:00:00,941.0,626.0,1316.0,1373.0,840.0,12.3,66.2,0.945,1.8,2004-03-16 04:00:00
2004-03-16 05:00:00,937.0,585.0,1412.0,1348.0,793.0,12.8,63.2,0.9283,0.6,2004-03-16 05:00:00
2004-03-16 06:00:00,1017.0,681.0,1246.0,1418.0,870.0,11.2,68.5,0.9081,0.9,2004-03-16 06:00:00
2004-03-16 07:00:00,1171.0,770.0,1162.0,1467.0,930.0,11.0,66.5,0.8705,1.3,2004-03-16 07:00:00
2004-03-16 08:00:00,1541.0,1185.0,770.0,1889.0,1407.0,11.7,63.7,0.8719,3.4,2004-03-16 08:00:00
2004-03-16 09:00:00,1539.0,1287.0,698.0,1917.0,1507.0,13.6,56.3,0.8743,3.7,2004-03-16 09:00:00
2004-03-16 10:00:00,1735.0,1431.0,628.0,1945.0,1843.0,17.8,42.9,0.8672,5.3,2004-03-16 10:00:00
2004-03-16 11:00:00,1571.0,1297.0,730.0,1973.0,1729.0,21.4,33.3,0.8417,4.1,2004-03-16 11:00:00
2004-03-16 12:00:00,1452.0,1250.0,776.0,1868.0,1583.0,24.4,27.4,0.8231,3.3,2004-03-16 12:00:00
2004-03-16 13:00:00,1579.0,1359.0,724.0,1998.0,1671.0,25.3,26.1,0.8264,4.0,2004-03-16 13:00:00
2004-03-16 14:00:00,1466.0,1309.0,773.0,1897.0,1491.0,25.8,23.2,0.7589,3.8,2004-03-16 14:00:00
2004-03-16 15:00:00,1280.0,1136.0,893.0,1675.0,1240.0,27.0,20.2,0.7094,2.8,2004-03-16 15:00:00
2004-03-16 16:00:00,1407.0,1197.0,905.0,1759.0,1313.0,28.2,18.6,0.7014,2.9,2004-03-16 16:00:00
2004-03-16 17:00:00,1389.0,1173.0,898.0,1739.0,1363.0,28.0,19.1,0.7098,2.9,2004-03-16 17:00:00
2004-03-16 18:00:00,1447.0,1235.0,859.0,1778.0,1296.0,23.9,25.7,0.7519,3.4,2004-03-16 18:00:00
2004-03-16 19:00:00,1551.0,1271.0,800.0,1875.0,1432.0,21.3,34.8,0.873,3.9,2004-03-16 19:00:00
2004-03-16 20:00:00,1474.0,1173.0,854.0,1776.0,1432.0,20.4,36.7,0.8704,3.2,2004-03-16 20:00:00
2004-03-16 21:00:00,1800.0,1426.0,700.0,1743.0,1517.0,19.0,41.3,0.9007,5.1,2004-03-16 21:00:00
2004-03-16 22:00:00,1379.0,1101.0,818.0,1710.0,1602.0,17.9,45.9,0.9342,2.6,2004-03-16 22:00:00
2004-03-16 23:00:00,1201.0,943.0,935.0,1560.0,1362.0,16.7,48.9,0.9226,1.7,2004-03-16 23:00:00
2004-03-17 00:00:00,1205.0,925.0,922.0,1547.0,1314.0,15.5,52.9,0.9271,1.7,2004-03-17 00:00:00
2004-03-17 01:00:00,1072.0,784.0,1066.0,1442.0,1114.0,15.5,51.9,0.9059,1.2,2004-03-17 01:00:00
2004-03-17 02:00:00,998.0,714.0,1169.0,1383.0,992.0,14.1,55.6,0.891,0.9,2004-03-17 02:00:00
2004-03-17 03:00:00,933.0,625.0,1292.0,1332.0,884.0,13.1,57.9,0.8666,0.7,2004-03-17 03:00:00
2004-03-17 04:00:00,883.0,577.0,1396.0,1303.0,808.0,12.7,57.9,0.8447,1.8,2004-03-17 04:00:00
2004-03-17 05:00:00,869.0,554.0,1460.0,1268.0,667.0,11.8,58.0,0.8026,0.5,2004-03-17 05:00:00
2004-03-17 06:00:00,891.0,576.0,1417.0,1289.0,733.0,11.9,57.4,0.7978,0.5,2004-03-17 06:00:00
2004-03-17 07:00:00,1173.0,878.0,1038.0,1556.0,1052.0,9.9,65.2,0.7956,1.6,2004-03-17 07:00:00
2004-03-17 08:00:00,1587.0,1334.0,702.0,1999.0,1534.0,11.1,60.2,0.7958,4.1,2004-03-17 08:00:00
2004-03-17 09:00:00,1852.0,1696.0,553.0,1926.6666666666667,1931.0,14.1,50.0,0.802,6.6,2004-03-17 09:00:00
2004-03-17 10:00:00,1522.0,1331.0,703.0,1854.3333333333333,1734.0,17.7,40.1,0.8048,4.3,2004-03-17 10:00:00
2004-03-17 11:00:00,1438.0,1161.0,819.0,1782.0,1595.0,21.1,33.4,0.8265,2.9,2004-03-17 11:00:00
2004-03-17 12:00:00,1393.0,1067.0,905.0,1654.0,1490.0,24.3,28.3,0.8471,2.5,2004-03-17 12:00:00
2004-03-17 13:00:00,1452.0,1152.0,861.0,1747.0,1508.0,25.6,25.6,0.8254,2.8,2004-03-17 13:00:00
2004-03-17 14:00:00,1389.0,1108.0,887.0,1712.0,1334.0,25.9,25.9,0.8503,2.6,2004-03-17 14:00:00
2004-03-17 15:00:00,1207.0,994.0,1013.0,1520.0,1045.0,26.8,18.7,0.65,2.0,2004-03-17 15:00:00
2004-03-17 16:00:00,1365.0,1154.0,940.0,1679.0,1221.0,29.3,15.8,0.6309,2.9,2004-03-17 16:00:00
2004-03-17 17:00:00,1247.0,1060.0,1032.0,1525.0,1069.0,28.5,14.9,0.5708,2.5,2004-03-17 17:00:00
2004-03-17 18:00:00,1557.0,1478.0,793.0,1981.0,1569.0,25.9,16.0,0.5237,5.0,2004-03-17 18:00:00
2004-03-17 19:00:00,1973.0,1737.0,617.0,1917.5,1608.5,23.1,26.5,0.7403,7.6,2004-03-17 19:00:00
2004-03-17 20:00:00,1975.0,1667.0,597.0,1854.0,1648.0,20.5,38.2,0.9133,6.7,2004-03-17 20:00:00
2004-03-17 21:00:00,1795.0,1485.0,653.0,1790.5,1687.5,19.1,42.6,0.9294,5.7,2004-03-17 21:00:00
2004-03-17 22:00:00,1444.0,1150.0,770.0,1727.0,1727.0,17.2,44.1,0.8558,2.8,2004-03-17 22:00:00
2004-03-17 23:00:00,1488.0,1171.0,731.0,1778.0,1705.0,16.0,50.9,0.9206,2.6,2004-03-17 23:00:00
2004-03-18 00:00:00,1371.0,1083.0,796.0,1669.0,1551.0,14.8,53.9,0.9024,2.3,2004-03-18 00:00:00
2004-03-18 01:00:00,1161.0,904.0,947.0,1502.0,1240.0,14.3,55.4,0.8975,1.4,2004-03-18 01:00:00
2004-03-18 02:00:00,1064.0,787.0,1057.0,1407.0,1115.0,14.8,52.1,0.8686,1.0,2004-03-18 02:00:00
2004-03-18 03:00:00,970.0,687.0,1196.0,1351.0,969.0,13.9,53.9,0.8501,0.7,2004-03-18 03:00:00
2004-03-18 04:00:00,954.0,645.0,1260.0,1334.0,925.0,11.6,61.9,0.8442,1.8,2004-03-18 04:00:00
2004-03-18 05:00:00,931.0,623.0,1293.0,1307.0,828.0,12.0,58.9,0.8233,0.6,2004-03-18 05:00:00
2004-03-18 06:00:00,938.0,650.0,1251.0,1333.0,893.0,10.9,62.1,0.8113,0.7,2004-03-18 06:00:00
2004-03-18 07:00:00,1166.0,885.0,1005.0,1551.0,1075.0,10.6,63.3,0.8067,1.5,2004-03-18 07:00:00
2004-03-18 08:00:00,1643.0,1384.0,667.0,1601.25,1610.0,11.5,60.0,0.8117,4.7,2004-03-18 08:00:00
2004-03-18 09:00:00,1934.0,1682.0,541.0,1651.5,1714.5,14.3,50.6,0.8186,6.6,2004-03-18 09:00:00
2004-03-18 10:00:00,1617.0,1333.0,686.0,1701.75,1819.0,17.8,40.5,0.821,4.5,2004-03-18 10:00:00
2004-03-18 11:00:00,1473.0,1127.0,831.0,1752.0,1568.0,20.8,34.4,0.8365,2.8,2004-03-18 11:00:00
2004-03-18 12:00:00,1379.0,1068.0,899.0,1663.0,1374.0,23.8,28.2,0.8219,2.2,2004-03-18 12:00:00
2004-03-18 13:00:00,1385.0,1056.0,891.0,1648.0,1268.0,24.2,28.7,0.8515,2.2,2004-03-18 13:00:00
2004-03-18 14:00:00,1379.0,1087.0,901.0,1660.0,1144.0,25.2,24.9,0.7829,2.3,2004-03-18 14:00:00
2004-03-18 15:00:00,1322.0,1129.0,934.0,1639.0,1109.0,27.0,17.8,0.6275,2.2,2004-03-18 15:00:00
2004-03-18 16:00:00,1496.0,1205.0,822.0,1767.0,1347.0,27.1,23.1,0.818,2.8,2004-03-18 16:00:00
2004-03-18 17:00:00,1409.0,1131.0,873.0,1689.0,1206.0,25.8,23.9,0.7832,2.7,2004-03-18 17:00:00
2004-03-18 18:00:00,1513.0,1338.0,764.0,1957.0,1397.0,23.0,26.8,0.7446,3.7,2004-03-18 18:00:00
2004-03-18 19:00:00,1667.0,1464.0,683.0,1882.0,1588.0,20.7,31.1,0.7523,5.1,2004-03-18 19:00:00
2004-03-18 20:00:00,1667.0,1453.0,684.0,1807.0,1569.0,18.6,36.2,0.7676,5.1,2004-03-18 20:00:00
2004-03-18 21:00:00,1430.0,1121.0,814.0,1732.0,1322.0,16.0,48.4,0.8768,3.2,2004-03-18 21:00:00
2004-03-18 22:00:00,1333.0,989.0,885.0,1621.0,1194.0,14.5,57.8,0.9456,2.1,2004-03-18 22:00:00
2004-03-18 23:00:00,1262.0,911.0,948.0,1545.0,1062.0,13.1,64.2,0.9606,1.7,2004-03-18 23:00:00
2004-03-19 00:00:00,1287.0,936.0,918.0,1606.0,1040.0,12.0,69.7,0.9735,2.0,2004-03-19 00:00:00
2004-03-19 01:00:00,1134.0,840.0,1021.0,1501.0,917.0,11.9,71.1,0.9915,1.6,2004-03-19 01:00:00
2004-03-19 02:00:00,999.0,688.0,1229.0,1380.0,594.0,12.5,69.3,1.0029,0.9,2004-03-19 02:00:00
2004-03-19 03:00:00,961.0,622.0,1382.0,1301.0,430.0,12.5,67.5,0.9768,0.7,2004-03-19 03:00:00
2004-03-19 04:00:00,934.0,569.0,1440.0,1280.0,397.0,12.3,67.7,0.9665,1.8,2004-03-19 04:00:00
2004-03-19 05:00:00,913.0,525.0,1620.0,1260.0,370.0,12.5,66.8,0.962,0.5,2004-03-19 05:00:00
2004-03-19 06:00:00,969.0,607.0,1373.0,1324.0,438.0,12.3,66.3,0.9487,0.7,2004-03-19 06:00:00
2004-03-19 07:00:00,1182.0,845.0,1054.0,1539.0,704.0,12.4,64.9,0.9332,1.5,2004-03-19 07:00:00
2004-03-19 08:00:00,1740.0,1372.0,671.0,1686.0,1476.0,13.0,61.6,0.9209,4.8,2004-03-19 08:00:00
